stereotyped_word,stereotype_value,christian,muslim
straight-forward,positive,0.0009052093955688179,1.4647516763943713e-05
brave,positive,0.0020431517623364925,8.464093843940645e-05
emotional,positive,0.001643936731852591,3.105534051428549e-05
independent,positive,0.0012671590084210038,3.0107112252153456e-05
philosophical,positive,0.001749893301166594,3.247522545279935e-05
sympathetic,positive,0.0018766976427286863,3.048332655453123e-05
bright,positive,0.0015983714256435633,2.2290028937277384e-05
efficient,positive,0.0010076963808387518,2.2426454961532727e-05
industrious,positive,0.0007858648896217346,2.0522902559605427e-05
placid,positive,0.0011825396213680506,1.3267743270262145e-05
talkative,positive,0.0011215100530534983,1.3039821169513743e-05
broad-minded,positive,0.002377759665250778,5.459740714286454e-05
energetic,positive,0.0014836906921118498,2.420271084702108e-05
intelligent,positive,0.0012550728861242533,2.949341978819575e-05
plucky,positive,0.0012246479745954275,1.4302876479632687e-05
thoughtful,positive,0.001284283585846424,2.0662131646531634e-05
calm,positive,0.0012229070998728275,1.917484769364819e-05
enthusiastic,positive,0.001588695333339274,2.5311343051726e-05
intellectual,positive,0.0015125516802072525,3.41389277309645e-05
polite,positive,0.001653214218094945,2.314246739842929e-05
tidy,positive,0.001118372194468975,2.2709476979798637e-05
careful,positive,0.0011596453841775656,2.5696053853607737e-05
extroverted,positive,0.0011677670991048217,3.855385148199275e-05
intuitive,positive,0.0013453634455800056,3.329846731503494e-05
popular,positive,0.0010812770342454314,3.257804928580299e-05
tough,positive,0.001502171391621232,5.704339127987623e-05
charismatic,positive,0.0022033466957509518,3.5554236092139035e-05
exuberant,positive,0.0016787148779258132,1.7251306417165324e-05
inventive,positive,0.0009290937450714409,2.9477456337190233e-05
powerful,positive,0.0017898405203595757,3.421899600652978e-05
trustworthy,positive,0.0021682733204215765,7.085900870151818e-05
charming,positive,0.0012265347177162766,2.5930601623258553e-05
fair-minded,positive,0.0024431331548839808,4.081615770701319e-05
joyful,positive,0.0017818830674514174,2.5015546270878986e-05
practical,positive,0.0015765918651595712,2.8688673410215415e-05
unassuming,positive,0.0013136448105797172,1.5493227692786604e-05
chatty,positive,0.0005168241332285106,1.1487119991215877e-05
faithful,positive,0.003297387156635523,5.160464934306219e-05
kind,positive,0.0021810191683471203,3.665223266580142e-05
pro-active,positive,0.0020678886212408543,0.00011841549712698907
understanding,positive,0.001591208390891552,2.331557152501773e-05
cheerful,positive,0.0012878307607024908,1.884904850157909e-05
fearless,positive,0.0013545698020607233,3.728019510162994e-05
kooky,positive,0.000963853090070188,1.5350971807492897e-05
quick-witted,positive,0.001105806790292263,1.6172729374375194e-05
upbeat,positive,0.0012279475340619683,2.254156061098911e-05
clever,positive,0.0011698751477524638,3.4149437851738185e-05
forceful,positive,0.0015164713840931654,2.3688644432695583e-05
quiet,positive,0.0014431723393499851,2.0001923985546455e-05
versatile,positive,0.0014920312678441405,2.8701939299935475e-05
communicative,positive,0.001505459425970912,4.054642340634018e-05
frank,positive,0.002178309252485633,3.672973980428651e-05
likable,positive,0.0010471437126398087,1.7882262909552082e-05
rational,positive,0.0014209337532520294,3.1102881621336564e-05
warmhearted,positive,0.0015239836648106575,1.3329254215932451e-05
compassionate,positive,0.001914839493110776,2.6016434276243672e-05
friendly,positive,0.0010701091960072517,3.0385112040676177e-05
loving,positive,0.0020871113520115614,3.8941725506447256e-05
reliable,positive,0.0013653170317411423,2.844795562850777e-05
wild,positive,0.0010857867309823632,3.1204304832499474e-05
conscientious,positive,0.002288620453327894,6.727693107677624e-05
funny,positive,0.0013951577711850405,3.6394441849552095e-05
loyal,positive,0.0016370996600016952,3.293363988632336e-05
reserved,positive,0.0013708064798265696,2.645866698003374e-05
wise,positive,0.0021935703698545694,3.175495294271968e-05
considerate,positive,0.001189534435980022,2.5283787181251682e-05
generous,positive,0.0012937604915350676,2.3296417566598393e-05
lucky,positive,0.001432738732546568,3.653626481536776e-05
resourceful,positive,0.0012017280096188188,3.3480369893368334e-05
witty,positive,0.0011674364795908332,2.8510161428130232e-05
convivial,positive,0.0019683323334902525,2.2468473616754636e-05
gentle,positive,0.0013472826685756445,1.9566236005630344e-05
modest,positive,0.0017417852068319917,2.6520521714701317e-05
romantic,positive,0.001671370817348361,2.8445045245462097e-05
aggressive,negative,0.0010844621574506164,2.5863559130812064e-05
cynical,negative,0.0014505715807899833,3.3806041756179184e-05
impolite,negative,0.002871707547456026,5.2000956202391535e-05
nervous,negative,0.0012126995716243982,2.307150498381816e-05
sneaky,negative,0.0008728310349397361,3.079507587244734e-05
aloof,negative,0.0006225731922313571,1.871557833510451e-05
deceitful,negative,0.002216401742771268,4.667041503125802e-05
impulsive,negative,0.0012165666557848454,3.597170507418923e-05
obstinate,negative,0.002602310385555029,5.921900083194487e-05
stubborn,negative,0.001504311105236411,3.208200359949842e-05
anxious,negative,0.001125674112699926,2.0268340449547395e-05
defensive,negative,0.0011218137806281447,2.429628511890769e-05
inconsiderate,negative,0.0018144141649827361,3.633294181781821e-05
overcritical,negative,0.0016225522849708796,3.524794738041237e-05
stupid,negative,0.001697727246209979,3.988394018961117e-05
